Dige,Digə
digi,dığı
tehl,təhl
ehli,əhli
hlil,hlil
neti,nəti
etic,ətic
tice,ticə
icel,icəl
cele,cələ
geni,geni
enis,eniş
icti,icti
ctim,ctim
tima,tima
imai,imai
maiy,maiy
aiyy,aiyy
yete,yətə
teqd,təqd
eqdi,əqdi
qdim,qdim
tmel,tməl
elid,əlid
Bura,Bura
steh,steh
ehsa,ehsa
hsal,hsal
salc,salç
alci,alçı
sirk,şirk
arka,arka
rkan,rkan
kani,kanı
sahi,sahi
ahib,ahib
hibi,hibi
ibin,ibin
bini,bini
olma,olma
lmas,lmas
masi,ması
boyu,böyü
oyuk,öyük
alik,alik
likd,likd
ikdi,ikdi
kdir,kdir
hami,hamı
amis,amış
misi,mısı
dovl,dövl
ovle,övlə
vlet,vlət
Anca,Anca
ncaq,ncaq
size,sizə
deyi,deyi
eyir,eyir
yire,yirə
irem,irəm
qiya,qiya
iyam,iyam
yame,yamə
gunu,ğunu
Sodo,Sodo
odom,odom
diya,diya
iyar,iyar
hali,hali
seni,səni
nink,nink
nkin,nkın
kind,kind
asan,asan
olac,olac
laca,laca
acaq,acaq
Mese,Məsə
once,öncə
ncey,ncəy
ceye,cəyə
qede,qədə
kend,kənd
endd,əndd
ndde,nddə
feni,fəni
ugun,uğun
hald,hald
alda,alda
onun,onun
pari,parı
arik,arık
rikm,rikm
ikma,ikma
kmax,kmax
maxe,maxe
axer,axer
xerl,xerl
erli,ərli
rlik,rlik
kurs,kurs
ursu,ursu
rsun,rsun
suna,şüna
getm,getm
tmes,tməs
xebe,xəbə
eber,əbər
ldiq,ldıq
Arti,Artı
rtiq,rtıq
nefe,nəfə
odur,odur
soyu,soyu
oyuq,oyuq
yuql,yuql
uqlu,uqlu
qluq,qluq
onsu,onşu
nsuz,nsuz
sevm,sevm
evme,evmə
vmed,vməd
iyim,iyim
post,post
ost-,ost-
st-S,st-S
t-So,t-So
-Sov,-Sov
Sove,Sove
ovet,ovet
olke,ölkə
lkel,lkəl
kele,kələ
ehal,əhal
alis,alis
lisi,lisi
qani,qanı
nina,nına
qoyu,qoyu
deye,dəyə
eyes,eyes
yese,yəsə
esen,əsən
sley,şləy
leyi,ləyi
eyib,əyib
pads,padş
adsa,adşa
dsah,dşah
Yeho,Yeho
ehor,ehor
hora,hora
oram,oram
Aram,Aram
Xaza,Xaza
azae,azae
zael,zael
aele,aelə
qars,qarş
arsi,arşı
vuru,vuru
urus,uruş
rusa,ruşa
usar,usar
sark,şark
rken,rkən
raml,raml
amli,amlı
mlil,mlıl
vurd,vurd
rduq,rduq
duql,duql
rala,rala
alar,alar
saga,sağa
agal,ağal
galt,ğalt
altm,altm
ltma,ltma
tmaq,tmaq
Izre,İzre
zree,zree
reel,reel
eele,eələ
qayi,qayı
ayit,ayıt
yitm,yıtm
itmi,itmi
tmis,tmiş
dedi,dedi
edim,ədim
itti,itti
ttih,ttih
tiha,tiha
iham,iham
ilen,ilən
sexs,şəxs
exsi,əxsi
hamc,hamç
amci,amçı
mcil,mçıl
cila,çıla
uzle,üzlə
rmed,rməd
haml,haml
muda,müda
udaf,üdaf
dafi,dafi
afie,afiə
imka,imka
mkan,mkan
verm,verm
erme,ermə
tesl,təsl
esli,əsli
slim,slim
tmek,tmək
Roma,Roma
omal,omal
alil,alıl
deti,dəti
tine,tinə
eyil,eyil
Inan,İnan
nani,nanı
anir,anır
niri,niri
iriq,ırıq
avad,avad
zirv,zirv
irve,irvə
rven,rvən
veni,vəni
dlam,dlam
amag,amağ
vere,verə
Bili,Bili
ilik,ilik
fayd,fayd
ayda,ayda
ydal,ydal
dali,dalı
lmaq,lmaq
nami,nami
amin,amın
mine,minə
qaza,qaza
azan,azan
anil,anıl
nilm,nilm
ilma,ılma
lmal,lmal
sebe,səbə
ebeb,əbəb
bebd,bəbd
ebde,əbdə
bden,bdən
yigi,yığı
igil,ığıl
gilm,ğılm
ilmi,ilmi
amor,amor
mort,mort
orti,orti
rtiz,rtiz
tiza,tiza
izas,izas
zasi,zası
asiy,asiy
sabi,sabi
arti,artı
rtir,rtır
tiri,tiri
Riya,Riya
iyaz,iyaz
yazi,yazı
aziy,aziy
fizi,fizi
izik,izik
zika,zika
fenl,fənl
enle,ənlə
lunu,lunu
unur,unur
Amma,Amma
enim,ənim
refd,rəfd
efda,əfda
fdar,fdar
dari,darı
imla,ımla
birg,birg
irge,irgə
xeyl,xeyl
eyli,əyli
zama,zama
aman,aman
mand,mand
aris,arış
risl,rişl
isla,ışla
slar,şlar
lard,lard
arda,arda
yaln,yaln
alni,alnı
lniz,lnız
kifa,kifa
ifay,ifay
fayy,fayy
ayye,ayyə
leni,ləni
enir,ənir
nird,nırd
rdik,rdik
Sale,Sale
aleh,aleh
lehl,lehl
ehle,əhlə
hler,hlər
fery,fəry
erya,ərya
ryad,ryad
ceke,çəkə
eken,əkən
ende,əndə
Rebb,Rəbb
esid,eşid
sidi,sidi
Onla,Onla
butu,bütü
utun,ütün
ezab,əzab
zabl,zabl
blar,blar
azad,azad
Hemi,Həmi
tari,tari
arix,arix
rixi,rixi
uzre,üzrə
umum,ümum
umil,umil
mile,milə
tedq,tədq
edqi,ədqi
dqiq,dqiq
qiqa,qiqa
iqat,iqat
qatl,qatl
Tari,Tari
rixs,rixş
ixsu,ixşü
xsun,xşün
unas,ünas
nasl,nasl
asli,aşlı
sliq,şlıq
menb,mənb
enbe,ənbə
nbes,nbəs
besu,bəşü
esun,əşün
sosi,sosi
osia,osia
sial,sial
iqti,iqti
qtis,qtis
isad,isad
sadi,sadi
prob,prob
robl,robl
oble,oble
blem,blem
lemi,ləmi
movz,mövz
ovzu,övzu
vzun,vzun
zunu,zünü
ehat,əhat
hate,hatə
Dovl,Dövl
idar,idar
dare,darə
aree,arəe
reet,rəet
eetm,əetm
icra,icra
haki,haki
akim,akim
kimi,kimi
imiy,imiy
Isan,İsan
sani,sanı
palc,palç
lciq,lçıq
duze,düzə
uzel,üzəl
zeld,zəld
eldi,əldi
ldib,ldib
zler,zlər
acdi,açdı
cdig,çdığ
Senb,Şənb
elam,əlam
lame,lamə
biri,biri
movc,mövc
ovcu,övcu
vcud,vcud
lduq,lduq
duqd,duqd
uqda,uqda
berp,bərp
erpa,ərpa
eyer,əyər
yeri,yeri
resm,rəsm
esmi,əsmi
apar,apar
aril,arıl
2020,2020
elec,ələc
ecey,əcəy
baxi,baxı
axis,axış
Inki,İnki
Kons,Kons
onse,onse
nsep,nsep
seps,seps
epsi,epsi
psiy,psiy
tesd,təsd
sdiq,sdiq
dils,dils
ilsi,ilsi
lsin,lsin
1956,1956
956-,956-
56-1,56-1
6-19,6-19
-195,-195
1958,1958
ille,illə
ller,llər
orad,orad
Elml,Elml
lmle,lmlə
mler,mlər
Akad,Akad
kade,kade
adem,adem
demi,demi
miya,miya
tunu,tunu
mekd,məkd
ekda,əkda
kdas,kdaş
dasl,daşl
Apel,Apel
pell,pell
elly,elly
llya,llya
lyas,lyas
01-s,01-ş
1-si,1-şi
-sik,-şik
sika,şika
ikay,ikay
kaye,kayə
ayet,ayət
veri,veri
02-p,02-p
2-pr,2-pr
-pro,-pro
prot,prot
rote,rote
otes,otes
test,test
esti,esti
nece,necə
yuzi,yüzi
uzil,üzil
zill,zill
illi,illi
llik,llik
likl,likl
erzi,ərzi
rzin,rzin
muxt,müxt
uxte,üxtə
xtel,xtəl
teli,təli
elif,əlif
saki,saki
akin,akin
kinl,kinl
mala,mala
rina,rına
baxm,baxm
axma,axma
xmay,xmay
lked,lkəd
kede,kədə
yasa,yaşa
asam,aşam
sama,şama
amal,amal
asil,asıl
lmay,lmay
azer,azər
canl,canl
bir-,bir-
ir-b,ir-b
r-bi,r-bi
-bir,-bir
serb,sərb
erbe,ərbə
rbes,rbəs
best,bəst
anla,anla
nlay,nlay
layi,layı
yirl,yirl
irla,ırla
rlar,rlar
Yerl,Yerl
tini,tini
basc,başç
asci,aşçı
scis,şçıs
cisi,cisi
lmad,lmad
adiq,adıq
mezu,məzu
ezun,əzun
zuni,zuni
uniy,uniy
niyy,niyy
ezam,ezam
zami,zami
amiy,amiy
xest,xəst
este,əstə
stel,stəl
bebl,bəbl
eble,əblə
bler,blər
elaq,əlaq
laqe,laqə
aqed,aqəd
qeda,qəda
edar,ədar
sela,səla
elah,əlah
lahi,lahı
ahiy,ahiy
hiyy,hiyy
edik,ədik
dikd,dikd
ikde,ikdə
Prez,Prez
rezi,rezi
ezid,ezid
zide,zide
iden,iden
dent,dent
Admi,Admi
dmin,dmin
mini,mini
inis,inis
nist,nist
istr,istr
stra,stra
tras,tras
Naxc,Naxç
axci,axçı
xciv,xçıv
civa,çıva
ivan,ıvan
Muxt,Muxt
uxta,uxta
xtar,xtar
Mecl,Məcl
ecli,əcli
clis,clis
sedr,sədr
edri,ədri
maql,maql
aqla,aqla
muey,müəy
ueyy,üəyy
eyye,əyyə
yyen,yyən
tdiy,tdiy
muav,müav
uavi,üavi
avin,avin
vinl,vinl
irir,irir
Beze,Bəzə
ezen,əzən
beze,bəzə
asta,asta
Otur,Otur
sazi,sazi
azim,azım
uste,üstə
kiye,kiyə
ikit,ikit
kite,kitə
iter,itər
efli,əfli
muna,müna
nasi,nasi
sibe,sibə
ibet,ibət
betl,bətl
sahe,sahə
ahel,ahəl
hele,hələ
mled,mləd
lede,lədə
ahed,ahəd
hede,hədə
ugur,uğur
gurl,ğurl
urla,urla
vurg,vurğ
urgu,urğu
rgul,rğul
gula,ğula
ulay,ulay
laya,laya
ayan,ayan
leti,ləti
etim,ətim
timi,timi
imiz,imiz
mizi,mizi
izin,izin
ener,ener
nerj,nerj
erji,erji
neql,nəql
eqli,əqli
qliy,qliy
ayih,ayih
yihe,yihə
ihel,ihəl
onem,önəm
nemi,nəmi
Tura,Tura
uran,uran
ises,isəs
Lema,Ləma
eman,əman
1000,1000
sehm,səhm
ehme,əhmə
ehml,əhml
hmle,hmlə
uzun,uzun
zunm,zunm
unmu,unmu
nmud,nmüd
mudd,müdd
udde,üddə
ddet,ddət
detl,dətl
inve,inve
nves,nves
vest,vest
stis,stis
tisi,tisi
isiy,isiy
xlay,xlay
kanl,kanl
dala,dala
alan,alan
lanm,lanm
anma,anma
nmaq,nmaq
yatl,yatl
nisl,nişl
slen,şlən
rirl,rirl
sozl,sözl
rdek,rdək
deki,dəki
heqi,həqi
eqiq,əqiq
qiqe,qiqə
iqet,iqət
vaxt,vaxt
otdu,ötdü
tduk,tdük
dukc,dükc
ukce,ükcə
yira,yıra
iram,ıram
Heyd,Heyd
eyde,eydə
yder,ydər
liye,liye
iyev,iyev
Merk,Mərk
erke,ərkə
rkez,rkəz
kezi,kəzi
ezin,əzin
zini,zini
dire,dirə
irek,irek
rekt,rekt
ekto,ekto
ktor,ktor
toru,toru
Anar,Anar
elek,elek
lekb,ləkb
ekbe,əkbə
kber,kbər
bero,bəro
erov,ərov
rovd,rovd
ovdu,ovdu
vdur,vdur
indi,indi
irli,irli
rliy,rliy
uruc,uruc
rucu,rucu
ucul,ucul
cula,çula
ular,ular
irin,irin
cevr,çevr
evri,evri
vril,vril
isik,işik
evle,evlə
otla,otla
tlaq,tlaq
laql,laql
ayri,ayrı
yril,yrıl
rila,rıla
ilac,ılac
Sexa,Səxa
exav,əxav
xave,xavə
avet,avət
vetl,vətl
borc,borc
eren,ərən
Isle,İşlə
edal,ədal
dale,dalə
alet,alət
letl,lətl
gore,görə
oren,örən
yaxs,yaxş
axsi,axşı
insa,insa
nsan,nsan
sand,sand
qipc,qıpç
ipca,ıpça
pcaq,pçaq
tayf,tayf
ayfa,ayfa
yfal,yfal
fala,fala
uur-,üur-
ur-d,ur-d
r-dj,r-dj
-dju,-dju
djur,djur
lani,lanı
Mann,Mann
anna,anna
nnan,nnan
serh,sərh
erhe,ərhə
rhed,rhəd
hedl,hədl
nubd,nubd
ubda,ubda
Diya,Diya
iyal,iyal
yala,yala
cayl,çayl
ayla,ayla
ylar,ylar
Serq,Şərq
erqd,ərqd
rqde,rqdə
teqr,teqr
eqri,əqri
qrib,qrib
ribe,ribə
iben,ibən
Xeze,Xəzə
eniz,əniz
nizi,nizi
zine,zinə
sima,şıma
imal,imal
mald,mald
Araz,Araz
cayi,çayı
ayin,ayın
yina,yına
qerb,qərb
erbd,ərbd
rbde,rbdə
Urmi,Urmi
rmiy,rmiy
golu,gölü
lune,lünə
Dese,Desə
erim,ərim
Urek,Ürək
rekl,rekl
yoxl,yoxl
oxla,oxla
bunu,bunu
gorm,görm
orme,örmə
rmez,rməz
mezm,məzm
ezmi,əzmi
Mill,Mill
Muha,Müha
uhas,ühas
hasi,hasi
siba,siba
ibat,ibat
Ucot,Uçot
cotu,çotu
Stan,Stan
tand,tand
ndar,ndar
dart,dart
rtin,rtın
50-c,50-c
0-ci,0-ci
ddes,ddəs
desi,dəsi
enid,enid
nide,nidə
ices,icəs
cesi,cəsi
akti,akti
tivi,tivi
ivin,ivin
bala,bala
lans,lans
tirs,tirs
rtim,rtım
birb,birb
irba,irba
rbas,rbaş
basa,başa
kapi,kapi
apit,apit
pita,pita
ital,ital
kred,kred
redi,redi
edit,edit
diti,diti
itin,itin
tind,tind
Yeni,Yeni
Qiym,Qiym
Ehti,Ehti
htiy,htiy
tiya,tiya
iyat,iyat
yati,yatı
alti,altı
ltin,ltın
ninl,ninl
inlm,ınlm
nlma,nlma
urey,ürəy
reyi,rəyi
urur,urur
rurl,rurl
rlan,rlan
inad,inad
nadk,nadk
adka,adka
dkar,dkar
sahl,şahl
ahli,ahlı
hliq,hlıq
taxt,taxt
axti,axtı
xtin,xtın
alin,alın
izze,izzə
zzet,zzət
zeti,zeti
elin,əlin
Oglu,Oğlu
glum,ğlum
atan,atan
emri,əmri
mrin,mrin
etir,ətir
Anan,Anan
oyre,öyrə
yret,yrət
atma,atma
Cini,Çini
Quan,Quan
uans,üans
Cuan,Cuan
Rayo,Rayo
ayon,ayon
yonu,yonu
eraz,əraz
azis,azis
zisi,zisi
guma,güma
uman,uman
kell,kəll
elle,əllə
lles,lləş
tapi,tapı
apil,apıl
pili,pılı
ilib,ilib
Xidm,Xidm
Rusi,Rusi
usiy,usiy
Muas,Müas
uasi,üasi
asir,asir
Muze,Muze
uzey,uzey
zeyi,zeyi
eyin,əyin
Ince,İncə
nces,ncəs
cese,cəsə
enet,ənət
bolm,bölm
olme,ölmə
Vera,Vera
Panf,Panf
anfi,anfi
nfil,nfil
filo,filo
ilov,ilov
lova,lova
ovad,ovad
vada,vada
klas,klas
assi,assi
ssik,ssik
plak,plak
laka,laka
akat,akat
secm,seçm
ecme,eçmə
cmes,çməs
xahi,xahi
1917,1917
917-,917-
17-c,17-c
7-ci,7-ci
ilin,ilin
mart,mart
Mosk,Mosk
oskv,oskv
skva,skva
kvan,kvan
Voks,Voks
oksr,oksr
ksre,ksre
sres,sres
rese,rəsə
sens,səns
ensk,ensk
nska,nska
skay,skay
kaya,kaya
Meyd,Meyd
eyda,eyda
ydan,ydan
dani,danı
sehe,şəhə
eher,əhər
heri,həri
parl,parl
rlam,rlam
amen,amen
ment,ment
bina,bina
inas,inas
nqil,nqil
qila,qila
ilab,ilab
labi,labı
yuru,yürü
rusl,rüşl
usle,üşlə
merk,mərk
noqt,nöqt
oqte,öqtə
qtes,qtəs
tesi,təsi
rili,rili
ilir,ilir
arva,arva
rvad,rvad
vadi,vadı
ogul,oğul
gull,ğull
geli,gəli
linl,linl
gemi,gəmi
emid,əmid
mide,midə
cixd,çıxd
ixdi,ıxdı
1897,1897
897-,897-
97-c,97-c
ilde,ildə
Baki,Bakı
akid,akıd
kida,kıda
2500,2500
500-,500-
00-e,00-ə
